pressure,bTemp,humidity,hTemp,aveTemp,lightLvl,milliseconds
98313.52,28.99,16,25,26.99,1023,9290
98313.52,28.99,16,25,26.99,1023,9364
98313.52,28.99,16,25,26.99,1023,9438
98313.52,28.99,16,25,26.99,1023,9510
98315.05,28.98,16,25,26.99,1023,9583
98315.05,28.98,16,25,26.99,1023,9656
98315.05,28.98,16,25,26.99,1023,9730
98315.05,28.98,16,25,26.99,1023,9802
98315.05,28.98,16,25,26.99,1023,9875
98315.05,28.98,16,25,26.99,1023,9948
98315.05,28.98,16,25,26.99,1023,10025
98315.05,28.98,16,25,26.99,1023,10099
98315.05,28.98,16,25,26.99,1023,10173
98315.05,28.98,16,25,26.99,1023,10246
98315.05,28.98,16,25,26.99,1023,10318
98315.05,28.98,16,25,26.99,1023,10391
98315.05,28.98,16,25,26.99,1023,10465
98314.08,28.99,16,25,26.99,1023,10537
98314.08,28.99,16,25,26.99,1023,10610
98314.08,28.99,16,25,26.99,1023,10684
98314.08,28.99,16,25,26.99,1023,10772
98314.08,28.99,16,25,26.99,1023,11117
98314.08,28.99,16,25,26.99,1023,11191
98314.08,28.99,16,25,26.99,1023,11264
98314.08,28.99,16,25,26.99,1023,11337
98314.08,28.99,16,25,26.99,1023,11410
98312.91,28.98,16,25,26.99,1023,11483
98312.91,28.98,16,25,26.99,1023,11556
98312.91,28.98,16,25,26.99,1023,11629
98312.91,28.98,16,25,26.99,1023,11707
98312.91,28.98,16,25,26.99,1023,11781
98312.91,28.98,16,25,26.99,1023,11853
98312.91,28.98,16,25,26.99,1023,11927
98312.91,28.98,16,25,26.99,1023,12000
98312.91,28.98,16,25,26.99,1023,12073
98312.91,28.98,16,25,26.99,1023,12146
98312.91,28.98,16,25,26.99,1023,12220
98312.91,28.98,16,25,26.99,1023,12293
98312.91,28.98,16,25,26.99,1023,12365
98314.08,28.99,16,25,26.99,1023,12443
98314.08,28.99,16,25,26.99,1023,12517
98314.08,28.99,16,25,26.99,1023,12591
98314.08,28.99,16,25,26.99,1023,12663
98314.08,28.99,16,25,26.99,1023,12736
98314.08,28.99,16,25,26.99,1023,12810
98314.08,28.99,16,25,26.99,1023,13154
98314.08,28.99,16,25,26.99,1023,13228
98314.08,28.99,16,25,26.99,1023,13300
98313.27,28.98,16,25,26.99,1023,13373
98313.27,28.98,16,25,26.99,1023,13451
98313.27,28.98,16,25,26.99,1023,13524
98313.27,28.98,16,25,26.99,1023,13598
98313.27,28.98,16,25,26.99,1023,13671
98313.27,28.98,16,25,26.99,1023,13744
98313.27,28.98,16,25,26.99,1023,13816
98313.27,28.98,16,25,26.99,1023,13890
98313.27,28.98,16,25,26.99,1023,13963
98313.27,28.98,16,25,26.99,1023,14035
98313.27,28.98,16,25,26.99,1023,14108
98313.27,28.98,16,25,26.99,1023,14196
98316.8,28.99,16,25,26.99,1023,14274
98316.8,28.99,16,25,26.99,1023,14350
98316.8,28.99,16,25,26.99,1023,14425
98316.8,28.99,16,25,26.99,1023,14500
98316.8,28.99,16,25,26.99,1023,14576
98316.8,28.99,16,25,26.99,1023,14651
98316.8,28.99,16,25,26.99,1023,14727
98316.8,28.99,16,25,26.99,1023,14802
98316.8,28.99,16,25,26.99,1023,14877
98316.8,28.99,16,25,26.99,1023,15228
98315.63,28.98,16,25,26.99,1023,15304
98315.63,28.98,16,25,26.99,1023,15380
98315.63,28.98,16,25,26.99,1023,15456
98315.63,28.98,16,25,26.99,1023,15532
98315.63,28.98,16,25,26.99,1023,15607
98315.63,28.98,16,25,26.99,1023,15682
98315.63,28.98,16,25,26.99,1023,15758
98315.63,28.98,16,25,26.99,1023,15834
98315.63,28.98,16,25,26.99,1023,15909
